"","siteid","long","lat","noAnalog","timeArrow","pastComp","presentComp","noAnalogWhich","timeArrowWhich","pastCompWhich","presentCompWhich","fig3Number"
"75345","2933",-93.573634,45.004374,0.136528524297464,0.170315889675022,0.110197684343082,0.110598866854801,"7534","2235","10156","1814",""
"75347","7534",-93.448984,44.774484,0.168891553025169,0.0887130500801954,0.164102498783823,0.116388262403457,"7534","10156","478","1544",""
"25481","2548",-95.787316,47.192748,0.124207718595903,0.117619475107192,0.142753997219775,0.155986721926493,"2548","1991","1991","1652",""
"7542","7531",-95.2408,45.44962,0.135113517971184,0.142146138787629,0.144859095700497,0.12174557949974,"7542","7531","9953","7538",""
"1544","245",-93.18333,45.425,0.14936450730177,0.150395516593171,0.159584546427378,0.102011612938225,"1544","245","1771","1544",""
"2786","1544",-93.692446,45.42213,0.183309245674679,0.144306841821405,0.165846255636179,0.0766860322647821,"2786","10156","269","2557",""
"8573","2937",-90.08333,45.33333,0.1367541432175,0.144509881491865,0.140038232525082,0.150706373515903,"8573","2937","8573","8573",""
"30329","30329",-90.54762,46.9164,0.0825787313093267,0.0825787313093267,0.179310510739498,0.229232432180999,"30329","30329","27281","27281","16"
"1510","1510",-92.587352,46.714106,0.0943423046578945,0.0943423046578945,0.177135107192065,0.218671820933615,"1510","1510","2849","1729","15"
"824","824",-94.421536,44.945278,0.139227616107014,0.139227616107014,0.160664291477157,0.145442183197314,"824","824","7531","7538",""
"274","1590",-93.601798,47.284892,0.16064032769113,0.144086839836652,0.160633131332183,0.123487313210513,"274","269","274","10132",""
"75343","1814",-93.631152,45.034798,0.151928491788572,0.185879024302075,0.145122204282529,0.110598866854801,"7534","2235","10156","2933",""
"2550","10135",-95.324986,46.164476,0.136553801062677,0.183654422313607,0.15613932570728,0.120043393907069,"2550","9762","7531","7538",""
"27861","1645",-91.45,45.3,0.116167418165084,0.164502583048318,0.133105221985847,0.19224970170599,"2786","1645","269","10352",""
"10134","10134",-93.069822,45.590222,0.155291395265397,0.155291395265397,0.163513236014147,0.13447194386994,"10134","10134","245","245",""
"75342","1586",-92.824634,45.047734,0.160120845842703,0.167609478125105,0.15760412152614,0.123997704551824,"7534","10156","307","307",""
"1721","6515",-93.66042,46.51172,0.154215621366477,0.171332448403936,0.142164179765383,0.15123680753557,"1721","10134","10132","10132",""
"1483","1483",-93.12302,44.77054,0.179798026600626,0.147148536777961,0.172214256558758,0.123130155056299,"1483","1548","2519","1548",""
"1119","1119",-93.64361,47.13556,0.154389992037758,0.154389992037758,0.214543010412765,0.100022956988186,"1119","1119","10132","274","14"
"2937","1410",-90.35,45.3,0.149022581614983,0.175270655110153,0.141661930835262,0.165750112368256,"2937","2937","2937","2937",""
"4851","485",-93.27,42.02,0.142953808440475,0.142953808440475,0.160653220295667,0.185641150836798,"485","485","1833","1833",""
"8561","8561",-96.189,46.59746,0.146104434077633,0.146104434077633,0.16217996349074,0.188371856724085,"8561","8561","7538","2548",""
"1766","1766",-95.12645,43.34114,0.140514567967912,0.140514567967912,0.194456037307531,0.173775050372473,"1766","1766","478","478",""
"14832","478",-93.439296,43.121856,0.153937413949198,0.180927511224251,0.164102498783823,0.155102167204604,"1483","478","7534","1548",""
"75421","7541",-95.7134,45.6736,0.157517537232926,0.21948643486999,0.124393509746716,0.152818884604207,"7542","9762","2550","7542","13"
"25502","2557",-93.98205,45.408746,0.216365593924547,0.178013605504027,0.194369611096903,0.0766860322647821,"2550","799","1544","1544","12"
"75341","10169",-93.574622,45.003678,0.196246454511102,0.161415061337768,0.1647592765749,0.14908871054389,"7534","2235","307","2933",""
"2548","1979",-95.28417,46.21194,0.181871442731516,0.18619644422719,0.168434913503522,0.145305289756858,"2548","1979","245","245",""
"1652","1652",-94.944158,47.173866,0.21820654568732,0.112325284925779,0.21520955521129,0.13869126230674,"1652","1772","1701","1772","11"
"101462","266",-94.971068,47.558974,0.223212441835075,0.136738419488235,0.209304786190691,0.137428175344114,"10146","10146","1598","10146","10"
"485","1833",-93.9,42.16,0.180983687040513,0.187385918244827,0.160653220295667,0.185641150836798,"485","1833","485","485",""
"14831","2519",-93.69167,44.89167,0.171529125226341,0.198535536151392,0.170905504251147,0.179381567866998,"1483","2519","10169","1586",""
"11620","11620",-94.705204,43.67599,0.142888243957172,0.142888243957172,0.247188860019235,0.228840104196688,"11620","11620","7534","1766","9"
"8551","8551",-93.41352,44.5921,0.169337295740267,0.169337295740267,0.217280420079286,0.212621090064439,"8551","8551","307","7534","8"
"1813","1813",-97.279598,45.496484,0.213710971633738,0.179054682229641,0.212044732488782,0.176559765292363,"1813","1766","7534","7541","7"
"2534","2534",-91.45,44.15,0.158815365951882,0.158815365951882,0.269068907663647,0.230647983275115,"2534","2534","10146","1483","6"
"101463","27281",-92.601862,46.540106,0.238018033345056,0.204428537711488,0.179310510739498,0.203412248913625,"10146","274","30329","10352","5"
"1676","1676",-97.352702,44.98282,0.171185760361558,0.171185760361558,0.245620365777227,0.252299866119215,"1676","1676","7541","1813","4"
"9987","9987",-95.8058,45.8653,0.20375493223566,0.20375493223566,0.222162307528203,0.213439494344658,"9987","9987","7542","9762","3"
"18131","7532",-95.6825,44.6159,0.199501955436825,0.227135139849175,0.215451128947131,0.203678500410383,"1813","7532","1766","1813","2"
"75344","2792",-95.30694,46.18444,0.21652873023828,0.243699506382071,0.183892784275685,0.20525107237633,"7534","8561","1548","2557","1"
